RP_Nr,WGS_Breite,WGS_Laenge
CE-242,52.7573950,10.3459350
HSK 100200,51.5057140,8.8480780
AIC-4312,48.4163140,11.1209070
ERB-102,49.8412550,9.0304080
HG-67,50.3553980,8.3959970
HR-233,51.0793610,9.5945050
DA-605,49.8001360,8.7475210
MR-316,50.8146290,9.0414150
HG-11,50.2324430,8.5627420
ESW-54,51.1705950,9.8299060
MTK-47,50.1353280,8.4614730
ESW-323,51.1286440,9.9691310
LM-243,50.3244330,8.3371520
LM-216,50.4272140,8.4286860
HR-875,50.9936530,9.3072010
LM-252,50.2947540,8.2381230
HG-157,50.2837080,8.4788420
01-501-SU,50.8178180,7.2633300
12-057-SU,50.6426000,7.2693780
6709-703,49.2826690,7.2681420
16-006-SU,50.8729830,7.4097310
CHA-2161,49.2645040,12.8230420
WB BF-007,51.8711300,12.9954900
5908-496,50.0483140,7.0488950
DLG-2034,48.5633520,10.4477810
FO-2067,49.7140920,11.1694600
KG-2013,50.1894400,9.8643330
LL-2015,47.9833100,11.0043650
HH-W-6071,53.6251140,10.1819480
NU-2006,48.3817740,9.9904360
5705-373,50.2554720,6.6574610
5806-770,50.1750790,6.7310240
PAF-2172,48.7285410,11.4926840
5908-457,50.0944400,7.0425330
5804-530,50.1138250,6.4254910
6811-179,49.1414180,7.5772250
5414-797,50.5965950,8.1054450
6411-857,49.5062470,7.6315840
6806-303,49.1727410,6.8135480
6608-506,49.3369940,7.1226720
KA-BEVE,52.9682880,8.1093900
UW-VELT,52.1923220,8.9318640
UE-024,53.1682160,10.6177090
5907-380,50.0435330,6.9930340
5806-897,50.1676770,6.7839230
HI-101,51.9917390,10.1031140
5513-041,50.4514280,7.8874170
NOM-304,51.8518570,9.9362810
NOM-381,51.7902730,9.7676820
NOM-140,51.7971560,10.0326590
6614-942,49.3931950,8.1396280
H-58-BZ,51.1613660,14.0372750
6512-348,49.4350990,7.6961010
6715-455,49.2105840,8.1895560
6107-117,49.8341260,6.9736990
KG-1029,50.3122940,9.9017800
H-90-ERZ,50.6546100,13.1255010
6212-231,49.7196250,7.7301540
LIF-1023,50.0902990,11.2875400
5213-165,50.7967040,7.9375040
5511-631,50.4725690,7.5252270
RO-L-2051,47.7395670,12.1629750
RO-L-2096,47.9506030,12.2394570
SAD-2146,49.5212630,12.6026510
SR-L-2017,49.0509540,12.7773360
5808-228,50.1254240,7.1208460
MKK-CF-002,50.2343250,9.2064780
TS-2046,48.0827970,12.3574070
HSK 1810,51.3812200,8.3460740
RE 679-368,51.7661100,7.0860240
5713-619,50.2881090,7.8796550
REG-2005,49.0908520,13.1982490
RP224,50.1046940,8.6747160
OG-299,48.3753020,8.1860550
T-SG-002,51.1283300,7.1506800
T-PB-072,51.4873500,8.5989080
T-MK-204,51.1311380,7.7117340
T-WES-118,51.5634100,6.7919980
H-SU-052,50.7823000,7.0462020
CHA-2024,49.1919740,13.0029950
WT/L/409,47.7682200,8.4737440
RV-067,47.9528000,9.6590150
RW-134,48.2160980,8.4333000
Cux-912,53.8116150,8.6253400
Z-4001,50.8543930,12.5941870
Z-4003,50.8499400,12.5871030
RE 5222,51.5653570,7.1625000
RE 5223,51.5624430,7.1720590
KN-184,47.8855470,8.8121690
EM-142,48.0592270,8.1082790
MOS-541,49.3079820,9.2467460
RA-068,48.8294970,8.1293470
LÖ-9234,47.8183780,7.9813890
ES-125,48.5630050,9.3177100
BB-201,48.6502880,8.8875180
TBB-1803,49.6047820,9.7387530
TBB-2754,49.7536290,9.6024580
KEH-2034,48.6090680,11.7484120
HR-916,50.8436700,9.1707510
GG-95,49.8772700,8.5344700
RE 5228,51.5669750,7.1588160
NEA-2025,49.5901820,10.6849460
AN-L-2009,49.0236540,10.4794120
LRO38-015,53.6347400,12.3646250
NEA-2227,49.7221150,10.5237190
OA-2158,47.6000040,10.4682890
NM-2122,49.2477680,11.4765420
OA-2141,47.6214470,10.2856580
R-L-2050,49.0390610,12.1721810
PAN-2177,48.3617850,12.9620510
FO-2112,49.6817860,11.2708740
RO-S-2001,47.8683940,12.0987960
AS-2044,49.5562160,11.5412600
AS-2038,49.6084910,11.6186020
AS-2104,49.6099690,11.5924140
OAL-4012,47.6042610,10.8885520
BT-L-2112,49.8634200,11.5968250
WÜ-L-2015,49.8137690,9.7690190
DGF-2119,48.6646280,12.8105550
DON-2170,48.9515510,10.4401110
HAS-2028,50.0121590,10.7396380
KG-2053,50.1599180,10.1591910
A-S-2203,48.3379620,10.9196940
AN-L-2115,49.3132290,10.7577070
AN-L-2131,49.2583060,10.7329260
AN-L-2132,49.3600840,10.5915600
AN-L-2135,49.3958030,10.7216760
AN-L-2136,49.4300960,10.6910850
AN-L-2151,49.3420360,10.7125570
AN-L-2153,49.4858030,10.2236620
AN-L-2175,49.3175090,10.2143820
AN-L-2187,49.2336070,10.1566350
AN-L-2213,49.0859440,10.4976560
N-2003,49.4741030,11.1489920
OA-2261,47.4618870,10.2530220
OA-2262,47.5040860,10.2647550
OAL-4003,47.5899540,10.8314380
PA-L-2427,48.6393420,13.1238160
WM-2084,47.8046820,11.1239270
D 18-1,51.5694660,7.5447380
D 18-2,51.5686920,7.5512390
D 18-3,51.5715320,7.5521150
D 19-1,51.5754330,7.5585630
RE 5217,51.5602400,7.1500730
KEH-2100,48.6082410,11.8399920
HH-AE-01,53.7418940,10.1111820
HH-AE-02,53.7391780,10.1185330
HH-B-7006,53.4297330,10.3951850
HH-B-7007,53.4267500,10.3832940
HH-GR-0001,53.6317300,10.3520390
HH-GR-0002,53.6328500,10.3565030
HH-W-6001,53.7513160,10.1366940
HH-W-6002,53.7418000,10.1361340
HH-W-6003,53.7370950,10.1410950
HH-W-6004,53.7314900,10.1305830
HH-W-6007,53.7285650,10.1470530
HH-W-6008,53.7386900,10.1704570
HH-W-6011,53.7099460,10.1725350
HH-W-6012,53.7162670,10.2066370
HH-W-6013,53.7081450,10.1961980
HH-A-3003,53.6128500,9.7535000
HH-A-3004,53.6103000,9.7963100
HH-A-3008,53.6038100,9.7374700
HH-W-6062,53.6778200,10.1821610
HH-W-6065,53.6657680,10.1769940
HH-W-6069,53.6570660,10.1960170
HH-W-6031,53.7248900,10.1163690
HH-W-6032,53.7260550,10.1247780
HH-W-6063,53.6681440,10.1930710
UW-BLES,52.1701260,10.3956420
HH-H-8001,53.4626200,9.8430810
HH-H-8002,53.4571340,9.8424980
HSK 2010,51.5081560,8.9094780
HH-H-8003,53.4542300,9.8374420
HH-H-8004,53.4505730,9.8447070
HH-H-8005,53.4429360,9.8544740
HH-H-8006,53.4633260,9.8698450
HH-H-8007,53.4597100,9.8778630
HH-H-8008,53.4534070,9.8772520
HH-H-8009,53.4453620,9.8697200
HH-H-8010,53.4680000,9.9100070
HH-H-8011,53.4641270,9.9061200
HH-H-8012,53.4575200,9.9043900
HH-H-8013,53.4610520,9.9206720
